url,category
https://recruitment.mdc.edu/psc/MYMDHPRD/RECRUIT/JOBS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_CAREERS_FL&Action=U&FOCUS=Applicant&SiteId=1000,other
http://mdconnect.mdc.edu/jobs.aspx,other
http://news.mdc.edu,other
https://news.mdc.edu/category/academics/,other
https://news.mdc.edu/category/alumni/,other
https://news.mdc.edu/category/arts-and-culture/,other
https://news.mdc.edu/category/athletics/,other
https://news.mdc.edu/category/campus-life/,other
https://news.mdc.edu/category/in-the-community/,other
https://news.mdc.edu/category/mdc-foundation/,other
https://news.mdc.edu/press-release,other
https://news.mdc.edu/registration-for-spring-semester-is-now-open/,student_services
https://news.mdc.edu/the-national-historic-landmark-freedom-tower-reopens/,other
https://news.mdc.edu/mdcs-miami-book-fair-returns-with-hundreds-of-authors-and-events/,other
https://news.mdc.edu/fifa-world-cup-2026-x-homecoming-internship-kickoff/,other
https://news.mdc.edu/mdc-names-2025-endowed-teaching-chairs/,other
https://news.mdc.edu/mdc-turns-65-on-sept-6-help-us-celebrate-by-making-a-gift/,other
https://news.mdc.edu/mdc-celebrates-2025-hall-of-fame-inductees/,other
https://news.mdc.edu/mdc-receives-5-million-gift-from-knight-foundation/,other
https://news.mdc.edu/mdcs-school-of-education-launches-excel-center/,other
https://news.mdc.edu/mdc-launches-floridas-first-bachelor-of-science-in-applied-artificial-intelligence/,other
https://news.mdc.edu/randy-boaz-competition-highlights-emergency-worker-skills/,other
https://news.mdc.edu/presidents-innovation-fund-project-highlighted-in-leading-educational-report/,other
https://news.mdc.edu/two-mdc-students-named-finalists-in-nprs-college-podcasts-challenge/,other
https://news.mdc.edu/page/2/,other
https://news.mdc.edu/page/3/,other
https://news.mdc.edu/page/34/,other
https://www.mdc.edu/academics/default.aspx,other
https://www.mdc.edu/academics/programs/default.aspx,program_info
https://www.mdc.edu/academics/programs-compare/default.aspx,program_info
https://www.mdc.edu/academics/academic-schools.aspx,other
https://www.mdc.edu/academics/programs/bachelors.aspx,program_info
https://www.mdc.edu/academics/programs/associate.aspx,program_info
https://www.mdc.edu/academics/programs/certificate.aspx,program_info
https://www.mdc.edu/academics/general-education.aspx,other
https://www.mdc.edu/academics/syllabus.aspx,other
https://www.mdc.edu/testing/testing-criteria/civic-literacy-competency-/,student_services
https://www.mdc.edu/registration/options/default.aspx,student_services
https://www.mdc.edu/honorsCollege/,other
https://www.mdc.edu/online,other
https://www.mdc.edu/registration/options/,student_services
https://www.mdc.edu/ce,other
https://www.mdc.edu/adult-education/default.aspx,other
https://www.mdc.edu/adult-education/ged-preparation.aspx,other
https://www.mdc.edu/adult-education/esol.aspx,other
https://www.mdc.edu/apprenticeships/,other
