url,category,confidence,reason
https://news.mdc.edu/wp-content/uploads/2022/08/two-year-colleges-with-the-most-international-students.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/08/Can_US_colleges_serve_people_who_primarily_speak_spanish-1.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/08/14-outstanding-MDC-faculty-named-as-2022-Endowed-Teaching-Chairs-1.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/08/a-big-role-in-good-jobs-callenge.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/08/Magic-at-MDC-to-launch-esports-gaming-rogram.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/08/City-of-Miami-votes-to-fund-scholarships-MH.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/07/Code-Art-paints-more-equitable-tech-future-forMiami-Refresh-Miami.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/07/second-chance-pell-students-mark-progress-for-prison-education-Diverse.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/07/chilean-vr-startup.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/07/mdc-sees-large-fall-enrollment-gains.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/06/Miami-for-Everyone-shines-a-light-on-tech-community-refreshmiami.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/06/six-things.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/06/competition-for-parametics-returns-to-MDC-Medical-Campus.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/06/wilson-scholars.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/06/community-colleges-and-employer-partners-are-teaming-up.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/05/Miami-student-drove-race-car-with-only-his-thoughts.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/05/MarchforUnity.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/05/This-years-Jack-Kent-Cooke-Foundation-transfer-scholars-CC-daily.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/04/6-more-things-to-know.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/04/be-like-mike.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/04/from-pjs-to-pomp-and-circumstance.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/04/executive-profile.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/04/eMerge-conference-Miami-Herald.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/04/Venture-Miami-Tech-Hiring-Fair-Refresh-Miami.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/04/DeSantis-signs-bill-to-expand-foster-care-financial-aid-to-caregivers-kids.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/04/How-community-colleges-can-train-for-the-Future-of-Work.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/04/miami-charging-bull.pdf,News & Press,1.00,host:news
https://news.mdc.edu/wp-content/uploads/2022/04/an-intellectual-giant.pdf,News & Press,1.00,host:news
